('zotacF6', 'zotacG3', 'zotacI3', 'zotacH6')
('zotacF6', 'zotacG3', 'zotacI3', 'zotacE1')
('zotacF6', 'zotacG3', 'zotacI3', 'zotacG4')
('zotacF6', 'zotacE4', 'zotacF2', 'zotacF3')
('zotacF6', 'zotacE4', 'zotacF2', 'zotacD6')
('zotacF6', 'zotacE4', 'zotacF2', 'zotacD1')
('zotacF6', 'zotacE4', 'zotacF2', 'zotacD3')
('zotacF6', 'zotacE4', 'zotacF2', 'zotacH2')
('zotacF6', 'zotacE4', 'zotacF2', 'zotacH6')
('zotacF6', 'zotacE4', 'zotacF2', 'zotacE1')
('zotacF6', 'zotacE4', 'zotacF2', 'zotacC6')
('zotacF6', 'zotacE4', 'zotacF2', 'zotacG3')
(zotacF6', 'zotacF3', 'zotacC6', 'zotacE4')
('zotacF6', 'zotacF3', 'zotacG3', 'zotacF2')
('zotacF6', 'zotacF3', 'zotacG3', 'zotacD6')
('zotacF6', 'zotacF3', 'zotacG3', 'zotacD3')
('zotacF6', 'zotacF3', 'zotacG3', 'zotacH2')
('zotacF6', 'zotacF3', 'zotacG3', 'zotacH6')
('zotacF6', 'zotacF3', 'zotacG3', 'zotacE1')
('zotacF6', 'zotacF3', 'zotacG3', 'zotacE4')
('zotacF6', 'zotacF3', 'zotacG3', 'zotacG4')
('zotacF6', 'zotacF3', 'zotacG3', 'zotacI3')
('zotacF6', 'zotacF3', 'zotacE4', 'zotacF2')
('zotacF6', 'zotacF3', 'zotacE4', 'zotacD6')
('zotacF6', 'zotacF3', 'zotacE4', 'zotacD1')
('zotacF6', 'zotacF3', 'zotacE4', 'zotacD3')
('zotacF6', 'zotacF3', 'zotacE4', 'zotacH2')
('zotacF6', 'zotacF3', 'zotacE4', 'zotacH6')
('zotacF6', 'zotacF3', 'zotacE4', 'zotacE1')
('zotacF6', 'zotacF3', 'zotacE4', 'zotacC6')
('zotacF6', 'zotacF3', 'zotacE4', 'zotacG3')
('zotacF6', 'zotacF3', 'zotacE4', 'zotacG4')
('zotacF6', 'zotacF3', 'zotacG4', 'zotacF4')
('zotacF6', 'zotacF3', 'zotacG4', 'zotacF2')
('zotacF6', 'zotacF3', 'zotacG4', 'zotacD6')
('zotacF6', 'zotacF3', 'zotacG4', 'zotacD1')
('zotacF6', 'zotacF3', 'zotacG4', 'zotacD3')
('zotacF6', 'zotacF3', 'zotacG4', 'zotacH2')
('zotacF6', 'zotacF3', 'zotacG4', 'zotacH6')
('zotacF6', 'zotacF3', 'zotacG4', 'zotacE1')
